xn,y,ymin,ymax,d,d_obs,u
20.456877,20.451803,20.0,22.0,31.338333,31.338333,0.9999355
20.46193,20.456877,20.0,22.0,31.35,31.35,0.99993587
20.46696,20.46193,20.0,22.0,31.361666,31.361666,0.99993634
20.471972,20.46696,20.0,22.0,31.373333,31.373333,0.9999367
20.476965,20.471972,20.0,22.0,31.385,31.385,0.9999372
20.481941,20.476965,20.0,22.0,31.396667,31.396667,0.99993753
20.4869,20.481941,20.0,22.0,31.408333,31.408333,0.999938
20.491844,20.4869,20.0,22.0,31.42,31.42,0.99993837
20.496775,20.491844,20.0,22.0,31.431667,31.431667,0.9999387
20.501692,20.496775,20.0,22.0,31.443333,31.443333,0.9999392
20.506596,20.501692,20.0,22.0,31.455,31.455,0.99993956
20.511488,20.506596,20.0,22.0,31.466667,31.466667,0.9999399
20.516369,20.511488,20.0,22.0,31.478333,31.478333,0.9999403
20.52124,20.516369,20.0,22.0,31.49,31.49,0.99994075
20.526102,20.52124,20.0,22.0,31.501667,31.501667,0.9999411
20.530954,20.526102,20.0,22.0,31.513334,31.513334,0.99994147
20.535799,20.530954,20.0,22.0,31.525,31.525,0.9999418
20.540634,20.535799,20.0,22.0,31.536667,31.536667,0.9999422
20.545464,20.540634,20.0,22.0,31.548334,31.548334,0.99994254
20.550285,20.545464,20.0,22.0,31.56,31.56,0.9999429
20.555101,20.550285,20.0,22.0,31.571667,31.571667,0.9999434
20.559912,20.555101,20.0,22.0,31.583334,31.583334,0.99994373
20.564716,20.559912,20.0,22.0,31.595,31.595,0.9999441
20.569515,20.564716,20.0,22.0,31.606667,31.606667,0.99994445
20.57431,20.569515,20.0,22.0,31.618334,31.618334,0.9999448
20.5791,20.57431,20.0,22.0,31.63,31.63,0.99994504
20.583885,20.5791,20.0,22.0,31.641666,31.641666,0.9999454
20.588667,20.583885,20.0,22.0,31.653334,31.653334,0.99994576
20.593447,20.588667,20.0,22.0,31.665,31.665,0.9999461
20.598223,20.593447,20.0,22.0,31.676666,31.676666,0.9999465
20.602995,20.598223,20.0,22.0,31.688334,31.688334,0.99994683
20.607765,20.602995,20.0,22.0,31.7,31.7,0.9999472
20.612534,20.607765,20.0,22.0,31.705,31.705,0.9999474
20.617138,20.612534,20.0,22.0,31.71,31.71,0.99994767
20.62159,20.617138,20.0,22.0,31.715,31.715,0.9999479
20.625898,20.62159,20.0,22.0,31.72,31.72,0.999948
20.630072,20.625898,20.0,22.0,31.725,31.725,0.99994826
20.634117,20.630072,20.0,22.0,31.73,31.73,0.9999485
20.638042,20.634117,20.0,22.0,31.735,31.735,0.99994874
20.641855,20.638042,20.0,22.0,31.74,31.74,0.99994886
20.645563,20.641855,20.0,22.0,31.745,31.745,0.9999491
20.649172,20.645563,20.0,22.0,31.75,31.75,0.99994934
20.652687,20.649172,20.0,22.0,31.755,31.755,0.99994946
20.656115,20.652687,20.0,22.0,31.76,31.76,0.9999497
20.659458,20.656115,20.0,22.0,31.765,31.765,0.9999498
20.662725,20.659458,20.0,22.0,31.77,31.77,0.99995005
20.665918,20.662725,20.0,22.0,31.775,31.775,0.9999502
20.669043,20.665918,20.0,22.0,31.78,31.78,0.9999504
20.672102,20.669043,20.0,22.0,31.785,31.785,0.9999505
20.6751,20.672102,20.0,22.0,31.79,31.79,0.99995065
20.678043,20.6751,20.0,22.0,31.795,31.795,0.9999509
20.680931,20.678043,20.0,22.0,31.8,31.8,0.999951
20.68377,20.680931,20.0,22.0,31.805,31.805,0.9999511
20.68656,20.68377,20.0,22.0,31.81,31.81,0.99995136
20.689304,20.68656,20.0,22.0,31.815,31.815,0.9999515
20.692007,20.689304,20.0,22.0,31.82,31.82,0.9999516
20.69467,20.692007,20.0,22.0,31.825,31.825,0.99995184
20.697294,20.69467,20.0,22.0,31.83,31.83,0.99995196
20.699884,20.697294,20.0,22.0,31.835,31.835,0.9999521
20.702442,20.699884,20.0,22.0,31.84,31.84,0.9999522
20.704967,20.702442,20.0,22.0,31.845,31.845,0.99995244
20.707464,20.704967,20.0,22.0,31.85,31.85,0.99995255
20.709932,20.707464,20.0,22.0,31.855,31.855,0.9999527
20.712376,20.709932,20.0,22.0,31.86,31.86,0.9999528
20.714794,20.712376,20.0,22.0,31.865,31.865,0.9999529
20.71719,20.714794,20.0,22.0,31.87,31.87,0.99995303
20.719564,20.71719,20.0,22.0,31.875,31.875,0.99995327
20.721918,20.719564,20.0,22.0,31.88,31.88,0.9999534
20.724253,20.721918,20.0,22.0,31.885,31.885,0.9999535
20.72657,20.724253,20.0,22.0,31.89,31.89,0.9999536
20.72887,20.72657,20.0,22.0,31.895,31.895,0.99995375
20.731153,20.72887,20.0,22.0,31.9,31.9,0.99995387
20.733423,20.731153,20.0,22.0,31.905,31.905,0.999954
20.735678,20.733423,20.0,22.0,31.91,31.91,0.9999541
20.737919,20.735678,20.0,22.0,31.915,31.915,0.99995434
20.740149,20.737919,20.0,22.0,31.92,31.92,0.99995446
20.742365,20.740149,20.0,22.0,31.925,31.925,0.9999546
20.744572,20.742365,20.0,22.0,31.93,31.93,0.9999547
20.746767,20.744572,20.0,22.0,31.935,31.935,0.9999548
20.748953,20.746767,20.0,22.0,31.94,31.94,0.99995494
20.75113,20.748953,20.0,22.0,31.945,31.945,0.99995506
20.753298,20.75113,20.0,22.0,31.95,31.95,0.9999552
20.755459,20.753298,20.0,22.0,31.955,31.955,0.9999553
20.757612,20.755459,20.0,22.0,31.96,31.96,0.9999554
20.759758,20.757612,20.0,22.0,31.965,31.965,0.99995553
20.761896,20.759758,20.0,22.0,31.97,31.97,0.99995565
20.764029,20.761896,20.0,22.0,31.975,31.975,0.9999558
20.766155,20.764029,20.0,22.0,31.98,31.98,0.9999559
20.768276,20.766155,20.0,22.0,31.985,31.985,0.999956
20.770391,20.768276,20.0,22.0,31.99,31.99,0.99995613
20.772503,20.770391,20.0,22.0,31.995,31.995,0.99995625
20.774609,20.772503,20.0,22.0,32.0,32.0,0.99995637
20.77671,20.774609,20.0,22.0,31.983334,31.983334,0.99995625
20.778292,20.77671,20.0,22.0,31.966667,31.966667,0.99995613
20.779385,20.778292,20.0,22.0,31.95,31.95,0.9999559
20.78002,20.779385,20.0,22.0,31.933332,31.933332,0.9999558
20.780226,20.78002,20.0,22.0,31.916666,31.916666,0.99995553
20.78003,20.780226,20.0,22.0,31.9,31.9,0.9999553
20.779457,20.78003,20.0,22.0,31.883333,31.883333,0.9999552
20.77853,20.779457,20.0,22.0,31.866667,31.866667,0.99995494
20.777271,20.77853,20.0,22.0,31.85,31.85,0.9999547
20.775702,20.777271,20.0,22.0,31.833334,31.833334,0.99995434
20.773838,20.775702,20.0,22.0,31.816668,31.816668,0.9999541
20.7717,20.773838,20.0,22.0,31.8,31.8,0.99995387
